job_id,company_name,job_title,job_location,job_language
1,Hyperscience                 ,Senior Software Engineer - Backend," Sofia, Bulgaria                ","['python', 'django', 'api', 'relational-database']"
2,Hubert Burda Media                 ,Fullstack Software Engineer (m/f/d) Python at Netdoktor," München, Deutschland                ","['python', 'django', 'sass', 'javascript', 'xss']"
3,Hubert Burda Media                 ,Backend Developer (m/f/d) at Netdoktor," München, Deutschland                ","['python', 'django', 'docker', 'sql', 'nosql']"
4,ioki GmbH                 ,Senior Backend Software Developer ioki (f/m/d)," Frankfurt am Main, Deutschland                ","['ruby-on-rails', 'ruby', 'api']"
5,Backtracks                 ,Senior Front End Software Developer," Austin, TX                ","['javascript', 'vue.js', 'ecmascript-6', 'node.js', 'typescript']"
6,Axess AG                 ,SOFTWARE ENGINEER FOR QUALITY ASSURANCE (m/f/x)," Anif, Österreich                ","['qa', 'testing', 'api', 'sql', 'automated-tests']"
7,Miss Moneypenny Technologies GmbH                 ,Software Engineer (f/m/d) - Mobile Wallet and Automation SaaS," Berlin, Deutschland                ","['reactjs', 'saas', 'postgresql']"
8,iubenda                 ,Senior Back-end Developer (Remote)," Milan, Italy                ","['kubernetes', 'ruby-on-rails', 'postgresql', 'ruby', 'mysql']"
9,Smartlane GmbH                 ,Backend Engineer (m/f/d)," München, Germany                ","['python', 'postgresql', 'flask', 'docker', 'kubernetes']"
10,Serrala                 ,Java Backend Developer (m/f/d)," Hamburg, Deutschland                ","['java', 'spring', 'java-ee', 'hibernate', 'kubernetes']"
11,Service Power                         ,Java Software Engineer," Stockport, UK                ","['java', 'j2ee', 'spring', 'jquery', 'javascript']"
12,ByteDance                 ,"Backend Software Engineer, Machine Learning Systems", Singapore                ,"['python', 'golang', 'tensorflow', 'kubernetes', 'pytorch']"
13,"Lead Sherpa, Inc.                 ",VP of Engineering for Profitable SaaS," Denver, CO                ","['django', 'python', 'reactjs', 'postgresql', 'javascript']"
14,Delicious Data GmbH                 ,Backend Engineer (m/f/d)," München, Deutschland                ","['django', 'postgresql', 'redis']"
15,GeoPhy                 ,Senior Full-Stack PHP Developer," Den Haag, Netherlands                ","['php', 'amazon-web-services', 'vue.js', 'laravel', 'postgresql']"
16,BetterDoc                 ,"Mid-Level Developer (Elixir / Ruby) - Backend, Frontend and beyond"," Cologne, Germany                ","['elixir', 'ruby-on-rails', 'kubernetes', 'microservices', 'amazon-web-services']"
